City,Sample,rank,geodist,Latitude,Longitude
Atlanta,10,5,9.7,33.8053278365901,-84.4540952181398
Atlanta,10,5,9.7,33.8156542274426,-84.4540952181398
Atlanta,10,5,9.7,33.8259806182951,-84.4540952181398
Atlanta,10,5,9.7,33.8363070091475,-84.4540952181398
Atlanta,10,5,9.7,33.8466334,-84.4540952181398
Atlanta,10,5,9.7,33.8569597908525,-84.4540952181398
Atlanta,10,5,9.7,33.8672861817049,-84.4540952181398
Atlanta,10,3,9.7,33.8776125725574,-84.4540952181398
Atlanta,10,2,9.7,33.8879389634099,-84.4540952181398
Atlanta,10,2,9.7,33.8982653542623,-84.4540952181398
Atlanta,10,7,9.7,33.9085917451148,-84.4540952181398
Atlanta,10,10,9.7,33.9189181359673,-84.4540952181398
Atlanta,10,17,8.3,33.7743486640328,-84.4416617441198
Atlanta,10,19,8.3,33.7846750548852,-84.4416617441198
Atlanta,10,6,8.3,33.7950014457377,-84.4416617441198
Atlanta,10,6,8.3,33.8053278365901,-84.4416617441198
Atlanta,10,5,8.3,33.8156542274426,-84.4416617441198
Atlanta,10,5,8.3,33.8259806182951,-84.4416617441198
Atlanta,10,5,8.3,33.8363070091475,-84.4416617441198
Atlanta,10,5,8.3,33.8466334,-84.4416617441198
Atlanta,10,4,8.3,33.8569597908525,-84.4416617441198
Atlanta,10,3,8.3,33.8672861817049,-84.4416617441198
Atlanta,10,2,8.3,33.8776125725574,-84.4416617441198
Atlanta,10,2,8.3,33.8879389634099,-84.4416617441198
Atlanta,10,2,8.3,33.8982653542623,-84.4416617441198
Atlanta,10,9,8.3,33.9085917451148,-84.4416617441198
Atlanta,10,11,8.3,33.9189181359673,-84.4416617441198
Atlanta,10,21,7,33.7743486640328,-84.4292282700999
Atlanta,10,15,6.9,33.7846750548852,-84.4292282700999
Atlanta,10,6,6.9,33.7950014457377,-84.4292282700999
Atlanta,10,6,6.9,33.8053278365901,-84.4292282700999
Atlanta,10,5,6.9,33.8156542274426,-84.4292282700999
Atlanta,10,5,6.9,33.8259806182951,-84.4292282700999
Atlanta,10,5,6.9,33.8363070091475,-84.4292282700999
Atlanta,10,5,6.9,33.8466334,-84.4292282700999
Atlanta,10,5,6.9,33.8569597908525,-84.4292282700999
Atlanta,10,4,6.9,33.8672861817049,-84.4292282700999
Atlanta,10,2,6.9,33.8776125725574,-84.4292282700999
Atlanta,10,2,6.9,33.8879389634099,-84.4292282700999
Atlanta,10,3,6.9,33.8982653542623,-84.4292282700999
Atlanta,10,6,6.9,33.9085917451148,-84.4292282700999
Atlanta,10,9,7,33.9189181359673,-84.4292282700999
Atlanta,10,21,5.6,33.7743486640328,-84.4167947960799
Atlanta,10,18,5.6,33.7846750548852,-84.4167947960799
Atlanta,10,6,5.6,33.7950014457377,-84.4167947960799
Atlanta,10,6,5.5,33.8053278365901,-84.4167947960799
Atlanta,10,5,5.5,33.8156542274426,-84.4167947960799
Atlanta,10,5,5.5,33.8259806182951,-84.4167947960799
Atlanta,10,5,5.5,33.8363070091475,-84.4167947960799
Atlanta,10,5,5.5,33.8466334,-84.4167947960799
Atlanta,10,4,5.5,33.8569597908525,-84.4167947960799
Atlanta,10,3,5.5,33.8672861817049,-84.4167947960799
Atlanta,10,2,5.5,33.8776125725574,-84.4167947960799
Atlanta,10,2,5.5,33.8879389634099,-84.4167947960799
Atlanta,10,3,5.6,33.8982653542623,-84.4167947960799
Atlanta,10,7,5.6,33.9085917451148,-84.4167947960799
