City,Sample,drop,geodist,rank,Latitude,Longitude
Atlanta,02,3,9.697,21,33.7906668548852,-84.4529405228724
Atlanta,02,3,9.689,21,33.8009932457377,-84.4529405228724
Atlanta,02,3,9.684,21,33.8113196365901,-84.4529405228724
Atlanta,02,3,9.679,21,33.8216460274426,-84.4529405228724
Atlanta,02,3,9.676,21,33.8319724182951,-84.4529405228724
Atlanta,02,3,9.674,21,33.8422988091475,-84.4529405228724
Atlanta,02,3,9.673,21,33.8526252,-84.4529405228724
Atlanta,02,3,9.674,21,33.8629515908525,-84.4529405228724
Atlanta,02,3,9.676,21,33.8732779817049,-84.4529405228724
Atlanta,02,3,9.679,21,33.8836043725574,-84.4529405228724
Atlanta,02,3,9.684,21,33.8939307634099,-84.4529405228724
Atlanta,02,3,9.689,21,33.9042571542623,-84.4529405228724
Atlanta,02,3,9.697,21,33.9145835451148,-84.4529405228724
Atlanta,02,3,9.705,21,33.9249099359672,-84.4529405228724
Atlanta,02,3,8.329,21,33.7803404640328,-84.4405061767478
Atlanta,02,3,8.319,21,33.7906668548852,-84.4405061767478
Atlanta,02,3,8.31,21,33.8009932457377,-84.4405061767478
Atlanta,02,3,8.303,21,33.8113196365901,-84.4405061767478
Atlanta,02,3,8.298,21,33.8216460274426,-84.4405061767478
Atlanta,02,3,8.294,21,33.8319724182951,-84.4405061767478
Atlanta,02,3,8.292,21,33.8422988091475,-84.4405061767478
Atlanta,02,3,8.291,21,33.8526252,-84.4405061767478
Atlanta,02,3,8.292,21,33.8629515908525,-84.4405061767478
Atlanta,02,3,8.294,21,33.8732779817049,-84.4405061767478
Atlanta,02,3,8.298,21,33.8836043725574,-84.4405061767478
Atlanta,02,3,8.303,21,33.8939307634099,-84.4405061767478
Atlanta,02,3,8.31,21,33.9042571542623,-84.4405061767478
Atlanta,02,3,8.319,21,33.9145835451148,-84.4405061767478
Atlanta,02,3,8.329,21,33.9249099359672,-84.4405061767478
Atlanta,02,3,6.954,21,33.7803404640328,-84.4280718306231
Atlanta,02,3,6.942,21,33.7906668548852,-84.4280718306231
Atlanta,02,3,6.932,21,33.8009932457377,-84.4280718306231
Atlanta,02,3,6.924,21,33.8113196365901,-84.4280718306231
Atlanta,02,3,6.918,21,33.8216460274426,-84.4280718306231
